clients time_per_client
100 0.010802433490753174
200 0.011122132539749146
300 0.01145443598429362
400 0.011535494923591613
500 0.011872890949249268
600 0.01216112772623698
700 0.012678681441715786
800 0.012922568917274476
900 0.013456714418199327
1100 0.014677637707103383
2100 0.01670166151864188
3100 0.019508066792641915
4100 0.02132245057966651
5100 0.02479471477807737
6100 0.02711440864156504
7100 0.031637525457731436
